Key,English,Tibetan
"full_name","Full Name","མིང་ཆ་ཚང་།"
"work_email","Work Email","ལས་ཀའི་གློག་འཕྲིན།"
"create_account","Create Free Account","རིན་མེད་ཐོ་འགོད་བྱེད་པ།"
"terms_info","By continuing, you agree to our Terms of Service.","མུ་མཐུད་ན། ཁྱེད་ཀྱིས་ང་ཚོའི་ཞབས་ཞུའི་གན་རྒྱར་མོས་མཐུན་ཡོད་པར་བརྩི།"
"back_to_website","Back to Website","ཕྱིར་དྲ་ཚིགས་ལ་ལོག་པ།"
"forgot_password","Forgot Password?","གསང་ཚིག་བརྗེད་སོང་ངམ།"
"role_employee","Employee","ལས་བཟོ་བ།"
"role_chef","Chef","མ་བྱན་ལགས།"
"role_accountant","Accountant","རྩིས་པ་ལགས།"
"greeting","Hey","བཀྲ་ཤིས་བདེ་ལེགས།"
"user_dashboard_desc","Track your meals and manage your plan.","ཁྱེད་ཀྱིས་ཉིན་ཟས་བརྩི་ཞིབ་དང་ཟས་ཐོ་གང་ཡིན་ལྟ་རོགས།"
"profile_settings","Profile Settings","སྒེར་གྱི་ཆ་འཕྲིན།"
"profile_photo","Profile Photo","སྒེར་གྱི་པར།"
"click_to_upload_photo","Click to upload photo","པར་འཇུག་ཕྱིར་འདིར་གནོན།"
"username_en","Username (English)","མིང། (དབྱིན་ཡིག)"
"username_bo","Username (Tibetan)","མིང། (བོད་ཡིག)"
"nickname_en","Nickname (English)","མིང་གཞན། (དབྱིན་ཡིག)"
"nickname_bo","Nickname (Tibetan)","མིང་གཞན། (བོད་ཡིག)"
"saving","Saving...","ཉར་ཚགས་བྱེད་བཞིན་པ།..."
"profile_updated","Profile updated successfully","སྒེར་གྱི་སྒྲིག་བཀོད་ལམ་ལྷོང་ངང་གསར་བཟོ་བྱས་ཟིན།"
"dashboard_summary","Dashboard Summary","ལས་དོན་གཙོ་ལེབ་ཕྱོགས་བསྡོམས།"
"view_monthly_lunch_billing","View Monthly Lunch Billing","ཟླ་རེའི་ཉིན་ཟས་རྩིས་ཐོ།"
"todays_lunch","Today's Lunch","དེ་རིང་གི་ཉིན་ཟས།"
"tomorrows_menu","Tomorrow's Menu","སང་ཉིན་གྱི་ཟས་ཐོ།"
"cutoff_passed","10 AM Cutoff passed","ཞོགས་པ་ཆུ་ཚོད་ ༡༠ པའི་དུས་བཅད་ཡོལ་ཟིན།"
"voting_closed","Voting for today is closed. Check back tomorrow morning!","དེ་རིང་གི་འདེམས་ཤོག་འཕེན་མཚམས་བཅད་ཟིན། སང་ཉིན་ཞོགས་པར་ཕེབས་རོགས།"
"im_joining","I'm Joining","ང་ཡོང་གི་ཡིན།"
"skip_today","Skip Today","དེ་རིང་མི་ཡོང་།"
"total_meals_eaten","Total Meals Eaten","ཞལ་ལག་བཞེས་པའི་གྲངས།"
"since_joined","Since you joined Meal Buddy","ཁྱེད་རང་མཉམ་ཞུགས་བྱས་པ་ནས་བཟུང་།"
"current_month","Current Month","ཟླ་འདི་ནང་།"
"days_tracked","Total working days tracked","ལས་ཀའི་ཉིན་གྲངས་ས་མཐའ།"
"monthly_summary","Monthly Summary","ཟླ་རེའི་ཕྱོགས་བསྡོམས།"
"joined","Joined","མཉམ་ཞུགས།"
"skipped","Skipped","མི་བཞེས།"
"recent_activity","Recent Activity","ཉེ་བའི་ལས་དོན།"
"view_all","View All","ཡོངས་རྫོགས།"
"no_recent_activity","No recent activity.","ཉེ་བའི་ལས་དོན་མི་འདུག"
"notifications","Notifications","བརྡ་ཐོ།"
"no_notifications","No recent notifications","བརྡ་ཐོ་གསར་པ་མི་འདུག"
"new_badge","New","གསར་པ།"
"setting_table","Setting the table...","སྒྲོག་ཙེ་སྒྲིག་བཞིན་པ།..."
"sizzling_data","Sizzling the data...","གནས་ཚུལ་རྣམས་བསྒྲིགས་བཞིན་པ།..."
"will_you_join","Will you join us?","ཁྱེད་རང་མཉམ་ཞུགས་གནང་གི་ཡིན་ནམ།"
"vote_yes","Yes, I'll be there","ང་ཡོང་གི་ཡིན།"
"vote_no","No, skip for today","ང་དེ་རིང་ཡོང་གི་མིན།"
"voting_locked","Voting is now locked","འདེམས་ཤོག་འཕེན་མཚམས་བཅད་ཟིན།"
"response_cutoff","Response required by 10:00 AM","ཞོགས་པ་ཆུ་ཚོད་ ༡༠ སྔོན་ལ་ཐག་གཅོད་གནང་དགོས།"
"vote_recorded","Vote recorded successfully","འདེམས་ཤོག་ལམ་ལྷོང་ངང་འཁོད་སོང་།"
"team_participation","Team Participation","རུ་ཁག་གི་མཉམ་ཞུགས་ཚད།"
"joined_so_far","joined so far","མཉམ་ཞུགས་བྱས་ཟིན།"
"todays_special","Today's Special","དེ་རིང་གི་ཟས་མཆོག"
"lunch_at_work","Lunch at work","ལས་ཡུལ་གྱི་ཉིན་ཟས།"
"confirm_attendance_for","Confirm your attendance for","ཉིན་ཟས་བཞེས་མིན་ཐག་གཅོད་བྱེད་པ།"
"meal_details_info","Meal includes steamed rice, cucumber raita, and seasonal dessert. All ingredients are locally sourced.","ཞལ་ལག་ནང་དུ་འབྲས་དང་། ཀུ་ཀུམ་བར་ར་ཡེ་ཏ། དུས་ཚིགས་ཀྱི་མངར་ཟས་བཅས་ཚུད་ཡོད། རྒྱུ་ཆ་ཡོངས་རྫོགས་ས་གནས་ས་ཐོག་ནས་ཡིན།"
"voting_deadline","Voting Deadline","འདེམས་ཤོག་དུས་བཅད།"
"closed","Closed","སྒོ་བརྒྱབ་ཟིན།"
"plan_your_meals","Plan Your Meals","ཁྱེད་ཀྱི་ཉིན་ཟས་འཆར་གཞི།"
"calendar_subtitle","Quickly opt out of lunch for specific days, weeks, or the whole month.","ཁྱེད་ཀྱི་ཉིན་ཟས་ཉིན་རེའམ་བདུན་རེ། ཡང་ན་ཟླ་རེར་བཞེས་མིན་ཐག་གཅོད་བྱེད་པ།"
"opt_out_month","Skip Month","ཟླ་འདིར་མི་བཞེས།"
"opt_in_month","Join Month","ཟླ་འདིར་བཞེས།"
"skip_week","Skip Week","བདུན་འདིར་མི་བཞེས།"
"join_week","Join Week","བདུན་འདིར་བཞེས།"
"legend_joining","Joining","མཉམ་ཞུགས།"
"legend_skipped","Skipped","མི་བཞེས།"
"chef_broadcast_info","{time} • Chef {name}","ཆུ་ཚོད་ {time} • མ་བྱན་ {name}"
"shahi_paneer_rice","Shahi Paneer with Jeera Rice","ཤ་ཧི་པ་ནིར་དང་ཟི་ར་འབྲས།"
"shahi_paneer_desc","A rich, creamy north-Indian curry paired with aromatic basmati rice and fresh cucumber salad.","རྒྱ་གར་བྱང་ཕྱོགས་ཀྱི་སྤྲི་དཀར་བྱུག་པའི་ཚོད་མ་དང་། ཞིམ་མངར་བསུང་ལྡན་འབྲས་སིལ། ཀུ་ཀུམ་གྲང་ཚལ་བཅས།"
"fallback_menu_date","Tuesday, May 13th","གཟའ་མིག་དམར། ཕྱི་ཟླ་ལྔ་པའི་ཚེས་ ༡༣"
"chef_greeting","Good Morning, Chef","སྔ་དྲོ་བདེ་ལེགས། མ་བྱན་ལགས།"
"total_employees","Total Employees","ལས་བཟོ་བ་ཡོངས་རྫོགས།"
"joined_lunch","Joined Lunch","ཉིན་ཟས་བཞེས་མཁན།"
"skipped_lunch","Skipped Lunch","ཉིན་ཟས་མི་བཞེས་མཁན།"
"participation_rate","Participation Rate","མཉམ་ཞུགས་བྱས་ཚད།"
"prep_timeline","Prep Timeline","གྲ་སྒྲིག་དུས་ཚོད།"
"total_plates_needed","Total Plates Needed","དགོས་མཁོ་ཡོད་པའི་ཟས་སྡེར།"
"response_cutoff_time","10:00 AM","ཞོགས་པ་ཆུ་ཚོད་ ༡༠:༠༠"
"response_cutoff_label","Response Cutoff","དུས་ཚོད་མཐའ་མ།"
"edit_weekly_menu","Edit Weekly Menu","བདུན་རེའི་ཟས་ཐོ་བཟོ་བཅོས།"
"quick_actions","Quick Actions","མགྱོགས་མྱུར་ལས་དོན།"
"broadcast","Broadcast","ཁྱབ་བསྒྲགས།"
"csv_export","CSV Export","ཡིག་ཆ་ཕྱིར་འདོན།"
"participation_details","Participation Details","མཉམ་ཞུགས་ཞིབ་ཕྲ།"
"all_filter","All","ཡོངས་རྫོགས།"
"waiting_filter","Waiting","སྒུག་བཞིན་པ།"
"search_placeholder","Search by employee name...","ལས་བཟོའི་མིང་བཙལ་བ།..."
"weekly_joining","Weekly Joining","བདུན་རེའི་མཉམ་ཞུགས།"
"weekly_joining_desc","Participation over the last 5 days","ཉིན་ལྔའི་རིང་གི་མཉམ་ཞུགས་གནས་ཚུལ།"
"no_responses_yet","No responses yet","ད་ལྟ་འདེམས་ཤོག་འཕེན་མཁན་མི་འདུག"
"no_responses_desc","Waiting for employees to cast their votes for today's lunch.","ལས་བཟོ་བ་ཚོས་དེ་རིང་གི་ཉིན་ཟས་ལ་འདེམས་ཤོག་འཕེན་པར་སྒུག་བཞིན་པ།"
"voted_at","Voted at {time}","ཆུ་ཚོད་ {time} ལ། འདེམས་ཤོག་འཕངས་པ།"
"edit_weekly_menu_title","Edit Weekly Menu","བདུན་རེའི་ཟས་ཐོ་བཟོ་བཅོས།"
"target_day","Target Day","དམིགས་འབེན་ཉིན་མོ།"
"dish_photo","Dish Photo","ཟས་ཀྱི་པར།"
"dish_photo_upload_desc","Click to upload food image","ཟས་ཀྱི་པར་འཇུག་ཕྱིར་འདིར་གནོན།"
"dish_photo_specs","PNG, JPG up to 5MB","PNG, JPG མང་མཐར་ 5MB བར།"
"dish_name","Dish Name","ཟས་མིང་།"
"save_changes","Save Changes","ཉར་ཚགས་བྱེད་པ།"
"send_broadcast","Send Broadcast","བརྡ་ཐོ་གཏོང་བ།"
"message_to_users","Message to Users","བརྡ་འཕྲིན་གཏོང་བ།"
"broadcast_placeholder","e.g. Lunch is delayed by 15 mins today!","དཔེར་ན། དེ་རིང་ཉིན་ཟས་ཆུ་ཚོད་སྐར་མ་ ༡༥ འགྱངས་ཡོད།"
"billing_payment","Billing & Payment","ཟླ་རེའི་རྩིས་ཐོ་དང་དངུལ་སྤྲོད།"
"billing_period","Billing Period","རྩིས་མཚམས་དུས་ཡུན།"
"amount_due","Amount Due","སྤྲོད་དགོས་པའི་དངུལ་འབོར།"
"plate_cost","Plate Cost","ཟས་སྡེར་རེའི་རིན་གོང་།"
"status","Status","གནས་སྟངས།"
"paid","Paid","སྤྲད་ཟིན།"
"unpaid","Unpaid","མ་སྤྲད་པ།"
"mon","Monday","གཟའ་ཟླ་བ།"
"tue","Tuesday","གཟའ་མིག་དམར།"
"wed","Wednesday","གཟའ་ལྷག་པ།"
"thu","Thursday","གཟའ་ཕུར་བུ།"
"fri","Friday","གཟའ་པ་སངས།"
"sat","Saturday","གཟའ་སྤེན་པ།"
"sun","Sunday","གཟའ་ཉི་མ།"
"Mon","Mon","གཟའ་ཟླ་བ།"
"Tue","Tue","གཟའ་མིག་དམར།"
"Wed","Wed","གཟའ་ལྷག་པ།"
"Thu","Thu","གཟའ་ཕུར་བུ།"
"Fri","Fri","གཟའ་པ་སངས།"
"Sat","Sat","གཟའ་སྤེན་པ།"
"Sun","Sun","གཟའ་ཉི་མ།"
"general","General","སྤྱིར་བཏང་།"
"hr","HR","མི་ཐབས་ཐོན་ཁུངས།"
"engineering","Engineering","བཟོ་སྐྲུན་སྡེ་ཚན།"
"finance","Finance","རྩིས་རིག་སྡེ་ཚན།"
"sales","Sales","འཚོང་ཡིག་སྡེ་ཚན།"
"unread_new","{count} New","གསར་པ། {count}"
"mark_as_read","Mark as read","ཀླགས་ཟིན་པར་བྱེད་པ།"
"voting_deadline_timer","Voting Deadline: {time}","འདེམས་ཤོག་དུས་བཅད། {time}"
"vote_submitted","Vote recorded successfully","འདེམས་ཤོག་ལམ་ལྷོང་ངང་འཁོད་སོང་།"
"monthly_lunch_billing","Monthly Lunch Billing","ཟླ་རེའི་ཉིན་ཟས་རྩིས་ཐོ།"
"meals_joined","Meals Joined","ཞལ་ལག་བཞེས་པའི་གྲངས།"
"cost_per_plate","Cost Per Plate","ཟས་སྡེར་རེའི་རིན་གོང་།"
"total_due","Total Due","སྤྲོད་དགོས་པའི་དངུལ་འབོར་ཁྱོན་བསྡོམས།"
"no_billing_this_month","No billing for this month yet","ཟླ་འདིར་རྩིས་ཐོ་མི་འདུག"
"chef_upload_info","Your chef will upload the monthly bill when ready.","མ་བྱན་གྱིས་ཟླ་རེའི་རྩིས་ཐོ་གྲ་སྒྲིག་ཟིན་སྐབས་འདི་རུ་འཇུག་ངེས།"
"accountant_upload_info","Your accountant will upload the monthly bill when ready.","རྩིས་པ་ལགས་ཀྱིས་ཟླ་རེའི་རྩིས་ཐོ་གྲ་སྒྲིག་ཟིན་སྐབས་འདི་རུ་འཇུག་ངེས།"
"billing_history","Billing History","སྔོན་གྱི་རྩིས་ཐོ།"
"no_previous_billing","No previous billing records.","སྔོན་གྱི་རྩིས་ཐོ་མི་འདུག"
"meals_joined_count","{count} meals joined","ཞལ་ལག་ {count} བཞེས་ཟིན།"
"loading_billing","Loading billing...","རྩིས་ཐོ་བཟོ་བཞིན་པ།..."
"total_bill","Total Bill","རྩིས་ཐོ་ཁྱོན་བསྡོམས།"
"total_plates","Total Plates","ཟས་སྡེར་ཁྱོན་བསྡོམས།"
"per_plate_cost","Per Plate Cost","ཟས་སྡེར་རེའི་རིན་གོང་།"
"paid_users","Paid Users","དངུལ་སྤྲད་ཟིན་པའི་མི་གྲངས།"
"unpaid_users","Unpaid Users","དངུལ་མ་སྤྲད་པའི་མི་གྲངས།"
"bill_receipt","Bill Receipt — {period}","རྩིས་འཛིན་འཛིན་ཡིག — {period}"
"user_billing","User Billing — {period}","ལས་བཟོའི་རྩིས་ཐོ — {period}"
"upload_bill","Upload Bill — {period}","རྩིས་ཐོ་འཇུག་པ — {period}"
"no_bill_exists","No bill exists for this period.","དུས་ཡུན་འདིར་རྩིས་ཐོ་མི་འདུག།"
"total_bill_amount","Total Bill Amount (₹)","རྩིས་ཐོ་ཁྱོན་བསྡོམས། (སྒོར་ ₹)"
"notes_optional","Notes (optional)","ཟུར་མཆན། (འདེམས་ཚན།)"
"generate_monthly_bill","Generate Monthly Bill","ཟླ་རེའི་རྩིས་ཐོ་བཟོ་བ།"
"drag_drop_bill_image","Drag & drop bill image or click to upload","རྩིས་ཐོའི་པར་འདི་རུ་འདྲུད་དེ་བཞག་གམ་གནོན་ནས་འཇུག"
"drag_drop_specs","PNG, JPG, WebP up to 5MB","PNG, JPG, WebP མང་མཐར་ 5MB བར།"
"search_users","Search users...","ལས་བཟོ་བ་འཚོལ་བ།..."
"user_column","User","ལས་བཟོ་བ།"
"joined_column","Joined","མཉམ་ཞུགས།"
"amount_due_column","Amount Due","སྤྲོད་དགོས་པའི་དངུལ་འབོར།"
"status_column","Status","གནས་སྟངས།"
"paid_at_column","Paid At","དངུལ་སྤྲད་པའི་དུས་ཚོད།"
"action_column","Action","བྱ་གཞག"
"mark_unpaid","Mark Unpaid","མ་སྤྲད་པར་འཇོག་པ།"
"mark_paid","Mark Paid","སྤྲད་ཟིན་པར་འཇོག་པ།"
"no_matching_users","No matching users","མཐུན་པའི་ལས་བཟོ་བ་མི་འདུག"
"clear_billing","Clear Billing","རྩིས་ཐོ་གསལ་བ།"
"clear_billing_confirm","Are you sure you want to clear/delete this monthly bill? This will delete the bill and all associated user bill statistics for this month. This action cannot be undone.","ཁྱེད་རང་ཟླ་རེའི་རྩིས་ཐོ་འདི་གསལ་བར་གཏན་འཁེལ་ཡིན་པས། འདིས་ཟླ་འདིའི་རྩིས་ཐོ་དང་ལས་བཟོའི་རྩིས་ཐོའི་གནས་ཚུལ་ཡོངས་རྫོགས་སུབ་ངེས། བྱ་གཞག་འདི་ཕྱིར་འཐེན་བྱེད་མི་ཐུབ།"
"clear_billing_success","Monthly billing cleared successfully.","ཟླ་རེའི་རྩིས་ཐོ་ལམ་ལྷོང་ངང་གསལ་ཟིན།"
"clearing_bill","Clearing bill...","རྩིས་ཐོ་གསལ་བཞིན་པ།..."
"page_indicator","Page {page} of {totalPages} ({count} users)","ཤོག་ལྷེ {page} ནས {totalPages} བར། (ལས་བཟོ {count})"
"Chicken Curry Rice","Chicken Curry Rice","བྱ་ཤའི་ཚོད་མ་དང་འབྲས།"
"Shahi Paneer Rice","Shahi Paneer Rice","ཤ་ཧི་པ་ནིར་དང་འབྲས།"
"Shahi Paneer with Jeera Rice","Shahi Paneer with Jeera Rice","ཤ་ཧི་པ་ནིར་དང་ཟི་ར་འབྲས།"
"Red Bean Rice Curd","Red Bean Rice Curd","རྒྱ་སྲན་དམར་པོ་དང་འབྲས་ཞོ།"
"Aloo Phinksha Tingmo","Aloo Phinksha Tingmo","ཞོག་ཁོག་ཕིང་ཤ་དང་ཀྲིང་མོ།"
"Egg Chowmein","Egg Chowmein","སྒོ་ངའི་རྒྱ་ཐུག"
"chicken_curry_desc","A delicious, spiced chicken curry slow-cooked with aromatic herbs, served with fluffy basmati rice.","བྱ་ཤའི་ཚོད་མ་སྤོད་ཡར་ལྡན་པ་དང་འབྲས་སིལ་བཅས།"
"red_bean_desc","Comforting red kidney beans (rajma) cooked in a rich tomato gravy, served with rice and fresh curd.","རྒྱ་སྲན་ཚོད་མ་ཞིམ་པོ་དང་འབྲས་དང་ཞོ་བཅས།"
"aloo_phinksha_desc","A traditional Tibetan stew made with potatoes, glass noodles (phing), and wood-ear mushrooms, served with steamed bun (tingmo).","བོད་ཀྱི་ཐུན་མོང་མ་ཡིན་པའི་ཞོག་ཁོག་ཕིང་ཤ་དང་སྤྲི་མོག་བཅས།"
"egg_chowmein_desc","Wok-tossed stir-fried noodles with fresh vegetables and scrambled eggs, seasoned with savory sauces.","སྒོ་ང་དང་ཚལ་རིགས་བརྔོས་པའི་རྒྱ་ཐུག་བཅས།"
"chefs_special","Chef's special for the day.","དེ་རིང་གི་མ་བྱན་གསོལ་ཚིགས་དམིགས་བསལ།"
"menu_not_set","Menu not set","ཟས་ཐོ་བཀོད་མེད།"
"chef_not_decided","Chef hasn't decided yet.","མ་བྱན་གྱིས་ཐག་གཅོད་བྱས་མེད།"
"tab_billing","Billing Records","རྩིས་ཐོ་ཉར་ཚགས།"
"tab_participation","Lunch Participation","ཉིན་ཟས་མཉམ་ཞུགས།"
"daily_participation","Daily View","ཉིན་རེའི་ལྟ་ཞིབ།"
"weekly_participation","Weekly View","བདུན་རེའི་ལྟ་ཞིབ།"
"monthly_participation","Monthly View","ཟླ་རེའི་ལྟ་ཞིབ།"
"not_registered","Not Registered","ཐོ་འགོད་བྱས་མེད།"
"select_date","Select Date","ཚེས་གྲངས་འདེམས་པ།"
"select_week","Select Week","བདུན་ཕྲག་འདེམས་པ།"
"select_month","Select Month","ཟླ་བ་འདེམས་པ།"
"total_opted_in","Total Opted-In","མཉམ་ཞུགས་བྱས་ཚད།"
"total_opted_out","Total Opted-Out","མི་བཞེས་ཚད།"
"total_eligible","Total Eligible Days","ཉིན་གྲངས་ཁྱོན་བསྡོམས།"
"no_menu_set","No Menu Set","ཟས་ཐོ་བཀོད་མེད།"
"participation_report","Participation Report","མཉམ་ཞུགས་སྙན་ཐོ།"
"user_participation_status","User Participation Status","མཉམ་ཞུགས་གནང་སྟངས།"
"back_to_dashboard","Back to Dashboard","གཙོ་སྟོན་མོལ།"
"activity_history","Activity History","བྱ་བའི་ལོ་རྒྱུས།"
"activity_history_subtitle","A complete record of your meal participations","ཁྱེད་ཀྱི་ཉིན་ཟས་ཞུགས་ཐོའི་ཟིན་ཐོ་ཆ་ཚང་།"
"loading_history","Loading history...","ལོ་རྒྱུས་འཇུག་བཞིན་པ།..."
"history_joined_lunch","Joined Lunch","ཉིན་ཟས་བཞེས་པ།"
"history_skipped_lunch","Skipped Lunch","ཉིན་ཟས་མ་བཞེས་པ།"
"unknown_menu","Unknown Menu","ཟས་ཐོ་མི་གསལ།"
"no_history_found","No History Found","ལོ་རྒྱུས་མ་རྙེད།"
"no_history_desc","You haven't participated in any meals yet.","ཁྱེད་ཀྱིས་ད་བར་ཉིན་ཟས་གང་ལའང་ཞུགས་མི་འདུག།"
"filter_all_time","All Time","དུས་ཚོད་ཆ་ཚང་།"
"filter_by_month","Filter by Month","ཟླ་བ་ལྟར་འདེམས་པ།"
"clear_filter","Clear Filter","འདེམས་ཚན་གསལ་བ།"
"column_role","Role","ལས་གནས།"
"column_department","Department","སྡེ་ཚན།"
"column_voted_at","Voted At","འོས་འཕངས་དུས།"
"total_days","Total Days","ཉིན་གྲངས་ཁྱོན་བསྡོམས།"
"lunch_days","lunch days","ཉིན་ཟས་ཀྱི་ཉིན་མོ།"
"no_report_data","No report data available.","སྙན་ཐོའི་གནས་ཚུལ་མི་འདུག།"
